station,scenario,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54,2054-55
Bayswater,Accelerated Transition, $4.10 , $3.75 , $3.56 , $3.82 , $3.58 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13 , $3.13
Eraring,Accelerated Transition, $7.02 , $6.39 , $5.48 , $4.56 , $3.65 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20
Mt Piper,Accelerated Transition, $7.22 , $6.58 , $5.67 , $4.77 , $3.87 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42 , $3.42
Vales Point B,Accelerated Transition, $7.02 , $6.39 , $5.48 , $4.56 , $3.65 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20 , $3.20
Callide B,Accelerated Transition, $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70
Callide C,Accelerated Transition, $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70 , $2.70
Gladstone,Accelerated Transition, $6.36 , $5.80 , $5.02 , $4.23 , $3.54 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26 , $3.26
Kogan Creek,Accelerated Transition, $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10 , $2.10
Millmerran,Accelerated Transition, $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85 , $1.85
Stanwell,Accelerated Transition, $4.75 , $6.28 , $5.37 , $4.45 , $3.53 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08 , $3.08
Tarong,Accelerated Transition, $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66
Tarong North,Accelerated Transition, $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66 , $3.66
Loy Yang A,Accelerated Transition, $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70 , $0.70
Loy Yang B,Accelerated Transition, $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72 , $0.72
Yallourn W,Accelerated Transition, $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74 , $0.74
